like1,like2,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,chain
-236.6,-200.9,-0.00663,0.0001652,0.0694,1.687,0.3225,0.7617,0.6094,20.08,5.895,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3776.0,3792.0,3816.0,3828.0,3752.0,3858.0,3858.0,3752.0,3752.0,3752.0,3792.0,3868.0,3752.0,3752.0,3752.0,3816.0,3850.0,3828.0,3868.0,3868.0,3752.0,3764.0,3764.0,3792.0,3868.0,3868.0,3868.0,3752.0,3752.0,3752.0,3868.0,3868.0,3868.0,3808.0,3868.0,3752.0,3752.0,3752.0,3780.0,3816.0,3838.0,3868.0,3752.0,3752.0,3752.0,3752.0,3752.0,3776.0,3848.0,3868.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3776.0,3868.0,3868.0,3804.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3776.0,3858.0,3868.0,3868.0,3868.0,3752.0,3752.0,3762.0,1.0
-176.4,-114.25,-0.006676,0.000144,0.06757,1.326,0.3323,0.7056,0.4377,18.25,7.973,3752.0,3752.0,3944.0,4100.0,4156.0,4216.0,3752.0,3976.0,4076.0,4216.0,4216.0,4216.0,4216.0,3890.0,4224.0,4224.0,3890.0,4058.0,4176.0,4224.0,4224.0,3978.0,4026.0,4096.0,4224.0,4224.0,4216.0,4224.0,4224.0,3988.0,4132.0,4216.0,4216.0,4224.0,4224.0,4224.0,3752.0,3892.0,4010.0,4224.0,4224.0,4224.0,3992.0,4224.0,3752.0,3752.0,4026.0,4170.0,4216.0,4224.0,4224.0,4150.0,3938.0,3992.0,4132.0,4156.0,4216.0,4216.0,4224.0,3752.0,3752.0,3752.0,3752.0,3780.0,3952.0,4088.0,4216.0,4224.0,4224.0,3838.0,3804.0,3752.0,3752.0,3776.0,3952.0,4056.0,4156.0,4224.0,4224.0,4224.0,4224.0,4224.0,4076.0,3752.0,4120.0,1.0
-185.0,-146.0,-0.00537,1.05e-05,0.00405,1.739,0.1962,0.6504,0.632,10.336,7.766,3752.0,3752.0,3752.0,3830.0,3902.0,3992.0,3752.0,3752.0,3830.0,3992.0,4026.0,4052.0,4088.0,3752.0,4108.0,4108.0,3752.0,3752.0,3918.0,4108.0,4132.0,3752.0,3780.0,3868.0,4094.0,4132.0,4132.0,4132.0,4132.0,3752.0,3880.0,3988.0,4058.0,4120.0,4132.0,4132.0,3752.0,3752.0,3752.0,4032.0,4132.0,4132.0,3752.0,4132.0,3752.0,3752.0,3752.0,3946.0,4026.0,4120.0,4132.0,4108.0,3752.0,3752.0,3752.0,3792.0,3860.0,3942.0,4072.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3988.0,4096.0,4100.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3780.0,3944.0,4052.0,4132.0,4132.0,4132.0,3866.0,3752.0,3918.0,1.0
-184.1,-124.75,-0.005592,8.357e-05,0.0679,1.353,0.271,0.667,0.5347,18.6,6.53,3752.0,3752.0,3880.0,4108.0,4156.0,4216.0,3752.0,3838.0,4096.0,4216.0,4216.0,4216.0,4224.0,3752.0,4224.0,4224.0,3752.0,4052.0,4216.0,4224.0,4224.0,3938.0,4026.0,4120.0,4224.0,4224.0,4216.0,4224.0,4224.0,3946.0,4156.0,4216.0,4224.0,4224.0,4224.0,4224.0,3752.0,3762.0,3928.0,4224.0,4224.0,4224.0,3946.0,4224.0,3752.0,3752.0,3980.0,4204.0,4212.0,4224.0,4224.0,4216.0,3792.0,3892.0,4076.0,4156.0,4216.0,4216.0,4224.0,3752.0,3752.0,3752.0,3752.0,3752.0,3838.0,4056.0,4216.0,4224.0,4224.0,3776.0,3792.0,3752.0,3752.0,3752.0,3804.0,4026.0,4156.0,4224.0,4224.0,4224.0,4224.0,4224.0,4052.0,3752.0,4120.0,1.0
-244.5,-206.1,-0.006233,3.6e-07,0.0322,1.464,0.224,0.837,0.5674,10.945,6.676,3752.0,3752.0,3752.0,3752.0,3764.0,3764.0,3752.0,3752.0,3752.0,3764.0,3776.0,3792.0,3892.0,3752.0,3892.0,3892.0,3752.0,3752.0,3752.0,3776.0,3868.0,3752.0,3752.0,3752.0,3752.0,3780.0,3830.0,3830.0,3838.0,3752.0,3752.0,3764.0,3776.0,3838.0,3838.0,3838.0,3752.0,3752.0,3752.0,3792.0,3838.0,3838.0,3804.0,3838.0,3752.0,3752.0,3752.0,3752.0,3752.0,3776.0,3838.0,3792.0,3752.0,3752.0,3752.0,3804.0,3838.0,3838.0,3848.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3850.0,3858.0,3792.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3858.0,3868.0,3868.0,3868.0,3752.0,3752.0,3776.0,1.0
-246.9,-206.4,-0.006065,5.317e-05,0.02864,1.7705,0.345,0.788,0.5464,14.23,5.125,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3764.0,3780.0,3816.0,3868.0,3752.0,3880.0,3890.0,3752.0,3752.0,3752.0,3776.0,3850.0,3752.0,3752.0,3752.0,3764.0,3792.0,3752.0,3816.0,3816.0,3752.0,3752.0,3764.0,3776.0,3816.0,3816.0,3816.0,3752.0,3752.0,3752.0,3792.0,3838.0,3838.0,3752.0,3838.0,3752.0,3752.0,3752.0,3752.0,3752.0,3792.0,3838.0,3752.0,3752.0,3752.0,3752.0,3764.0,3838.0,3838.0,3850.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3764.0,3850.0,3850.0,3764.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3764.0,3804.0,3850.0,3850.0,3850.0,3752.0,3752.0,3752.0,1.0
-161.6,-103.2,-0.005653,9.465e-05,0.0057,1.26,0.3564,0.724,0.445,17.31,5.324,3752.0,3752.0,3892.0,4074.0,4108.0,4156.0,3752.0,3918.0,4064.0,4160.0,4216.0,4216.0,4216.0,3838.0,4216.0,4216.0,3816.0,3992.0,4132.0,4216.0,4216.0,3918.0,3976.0,4058.0,4216.0,4216.0,4096.0,4216.0,4216.0,3946.0,4094.0,4204.0,4216.0,4216.0,4216.0,4216.0,3752.0,3816.0,3970.0,4216.0,4216.0,4216.0,3880.0,4216.0,3752.0,3752.0,3980.0,4156.0,4196.0,4216.0,4216.0,4052.0,3892.0,3988.0,4100.0,4150.0,4176.0,4216.0,4216.0,3752.0,3752.0,3752.0,3752.0,3764.0,3892.0,4064.0,4216.0,4220.0,4224.0,3804.0,3776.0,3752.0,3752.0,3752.0,3890.0,4026.0,4156.0,4216.0,4224.0,4224.0,4224.0,4224.0,3922.0,3752.0,4064.0,1.0
-171.2,-109.6,-0.00653,0.0001047,0.07745,1.565,0.1803,0.6826,0.522,9.7,5.883,3752.0,3752.0,3880.0,4058.0,4096.0,4156.0,3752.0,3816.0,4032.0,4156.0,4190.0,4216.0,4216.0,3752.0,4216.0,4216.0,3764.0,3980.0,4120.0,4216.0,4216.0,3868.0,3976.0,4034.0,4216.0,4216.0,4212.0,4216.0,4216.0,3890.0,4074.0,4156.0,4216.0,4216.0,4216.0,4216.0,3752.0,3752.0,3880.0,4216.0,4216.0,4216.0,3880.0,4216.0,3752.0,3752.0,3926.0,4104.0,4160.0,4216.0,4216.0,4092.0,3776.0,3912.0,4026.0,4096.0,4144.0,4170.0,4216.0,3752.0,3752.0,3752.0,3752.0,3752.0,3792.0,4026.0,4156.0,4216.0,4216.0,3804.0,3776.0,3752.0,3752.0,3752.0,3780.0,3988.0,4074.0,4216.0,4216.0,4216.0,4216.0,4216.0,4026.0,3752.0,4108.0,1.0
-146.9,-91.56,-0.005966,9.61e-05,0.03004,1.483,0.3887,0.7075,0.4329,14.87,4.62,3752.0,3752.0,3880.0,4052.0,4082.0,4136.0,3752.0,3850.0,4026.0,4156.0,4156.0,4216.0,4216.0,3752.0,4216.0,4096.0,3764.0,3964.0,4094.0,4216.0,4216.0,3848.0,3918.0,4026.0,4216.0,4216.0,3912.0,4216.0,4216.0,3868.0,4052.0,4132.0,4216.0,4216.0,4216.0,4216.0,3752.0,3764.0,3892.0,4216.0,4216.0,4216.0,3764.0,4216.0,3752.0,3752.0,3918.0,4082.0,4150.0,4216.0,4216.0,3762.0,3858.0,3912.0,4058.0,4120.0,4140.0,4170.0,4216.0,3752.0,3752.0,3752.0,3752.0,3752.0,3830.0,4026.0,4156.0,4216.0,4216.0,3776.0,3752.0,3752.0,3752.0,3752.0,3816.0,4026.0,4094.0,4216.0,4216.0,4216.0,4216.0,4216.0,3752.0,3752.0,3804.0,1.0
-192.4,-164.5,-0.00698,0.00010705,0.00644,1.669,0.27,0.8794,0.501,10.195,3.941,3752.0,3752.0,3752.0,3816.0,3816.0,3762.0,3752.0,3752.0,3792.0,3912.0,3918.0,3946.0,3964.0,3752.0,3976.0,3970.0,3752.0,3752.0,3776.0,3892.0,3970.0,3752.0,3752.0,3752.0,3850.0,3868.0,3764.0,3892.0,3946.0,3752.0,3804.0,3838.0,3918.0,3926.0,3944.0,3946.0,3752.0,3752.0,3752.0,3926.0,3946.0,3952.0,3776.0,3952.0,3752.0,3752.0,3752.0,3816.0,3848.0,3890.0,3952.0,3752.0,3752.0,3764.0,3892.0,3892.0,3938.0,3952.0,3958.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3892.0,3958.0,3970.0,3816.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3804.0,3918.0,3976.0,3976.0,3976.0,3976.0,3752.0,3752.0,3752.0,1.0
