like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,chain
-193.5,-0.00673,7.874e-05,0.011,1.556,0.1892,0.705,0.6377,19.12,7.164,4036.0,4136.0,4136.0,4184.0,4036.0,4136.0,4184.0,4184.0,4184.0,4236.0,4236.0,4236.0,3984.0,4136.0,4236.0,4236.0,4236.0,3984.0,4036.0,4084.0,4184.0,4236.0,4236.0,4236.0,4236.0,4036.0,4136.0,4184.0,4184.0,4236.0,4236.0,4236.0,3684.0,4036.0,4236.0,4084.0,4184.0,4236.0,4236.0,4236.0,4236.0,3884.0,3936.0,4036.0,4084.0,3984.0,4084.0,4136.0,4236.0,4236.0,4236.0,3784.0,3984.0,4084.0,4136.0,4236.0,4236.0,0.0
-190.5,-0.006912,6.73e-05,0.01196,1.55,0.1863,0.7056,0.627,19.6,6.242,4036.0,4136.0,4136.0,4184.0,4036.0,4136.0,4184.0,4184.0,4184.0,4236.0,4236.0,4236.0,3984.0,4136.0,4236.0,4236.0,4236.0,3984.0,4036.0,4084.0,4184.0,4236.0,4236.0,4236.0,4236.0,4036.0,4136.0,4184.0,4184.0,4236.0,4236.0,4236.0,3684.0,4036.0,4184.0,4084.0,4184.0,4236.0,4236.0,4236.0,4184.0,3884.0,3936.0,4036.0,4084.0,3984.0,4036.0,4136.0,4236.0,4236.0,4236.0,3784.0,3984.0,4084.0,4136.0,4236.0,4236.0,0.0
-167.4,-0.006622,5.937e-05,0.003462,1.547,0.1919,0.7163,0.6323,20.97,7.215,3936.0,4084.0,4136.0,4136.0,3984.0,4136.0,4136.0,4136.0,4136.0,4184.0,4184.0,4184.0,3936.0,4084.0,4184.0,4184.0,4184.0,3936.0,3984.0,4036.0,4136.0,4184.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4184.0,4184.0,4184.0,4184.0,3684.0,3984.0,4184.0,4036.0,4136.0,4184.0,4184.0,4184.0,4184.0,3884.0,3936.0,3984.0,4036.0,3936.0,3984.0,4084.0,4184.0,4184.0,4184.0,3784.0,3936.0,4036.0,4136.0,4184.0,4184.0,0.0
-166.6,-0.006577,7.53e-05,0.0087,1.533,0.1971,0.719,0.635,21.31,6.535,3936.0,4084.0,4084.0,4136.0,3984.0,4136.0,4136.0,4136.0,4136.0,4184.0,4184.0,4184.0,3936.0,4084.0,4184.0,4184.0,4184.0,3936.0,3984.0,4036.0,4136.0,4184.0,4184.0,4184.0,4184.0,3984.0,4084.0,4136.0,4136.0,4184.0,4184.0,4184.0,3684.0,3984.0,4184.0,4036.0,4136.0,4184.0,4184.0,4184.0,4184.0,3884.0,3936.0,3984.0,4036.0,3936.0,3984.0,4084.0,4184.0,4184.0,4184.0,3784.0,3936.0,4036.0,4084.0,4184.0,4184.0,0.0
-150.0,-0.00653,7.99e-05,0.01683,1.535,0.1849,0.7295,0.648,22.05,5.582,3884.0,3984.0,4036.0,4036.0,3936.0,4036.0,4084.0,4084.0,4084.0,4136.0,4136.0,4136.0,3884.0,3984.0,4136.0,4136.0,4136.0,3884.0,3936.0,3984.0,4084.0,4136.0,4136.0,4136.0,4136.0,3936.0,4036.0,4084.0,4136.0,4136.0,4136.0,4136.0,3684.0,3936.0,4136.0,3984.0,4084.0,4136.0,4136.0,4136.0,4036.0,3684.0,3884.0,3936.0,3984.0,3884.0,3936.0,4036.0,4136.0,4136.0,4136.0,3784.0,3884.0,3936.0,4036.0,4136.0,4136.0,0.0
-203.0,-0.006317,6.32e-05,0.02608,1.539,0.1931,0.7485,0.6455,21.3,4.69,3684.0,3884.0,3884.0,3936.0,3684.0,3936.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,3684.0,3884.0,3984.0,4036.0,4036.0,3684.0,3684.0,3836.0,3984.0,3984.0,4036.0,4036.0,4036.0,3836.0,3936.0,3936.0,3984.0,4036.0,4036.0,4036.0,3684.0,3684.0,3984.0,3884.0,3984.0,4036.0,4036.0,4036.0,3684.0,3684.0,3684.0,3684.0,3884.0,3684.0,3684.0,3884.0,4036.0,4036.0,4036.0,3784.0,3684.0,3684.0,3936.0,4036.0,4036.0,0.0
-175.6,-0.006683,9.77e-05,0.014534,1.547,0.1903,0.757,0.649,20.64,5.547,3836.0,3936.0,3936.0,3936.0,3884.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,4036.0,3684.0,3884.0,3984.0,4036.0,4036.0,3684.0,3836.0,3884.0,3984.0,4036.0,4036.0,4036.0,4036.0,3884.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,3684.0,3684.0,3984.0,3936.0,3984.0,4036.0,4036.0,4036.0,3936.0,3684.0,3684.0,3884.0,3936.0,3684.0,3884.0,3936.0,4036.0,4036.0,4036.0,3784.0,3684.0,3884.0,3936.0,4036.0,4036.0,0.0
-158.4,-0.00688,0.00010747,0.01239,1.555,0.1951,0.7563,0.6406,19.12,5.1,3836.0,3936.0,3936.0,3984.0,3884.0,3984.0,3984.0,4036.0,4036.0,4036.0,4084.0,4084.0,3684.0,3936.0,4036.0,4084.0,4084.0,3836.0,3884.0,3884.0,4036.0,4036.0,4084.0,4084.0,4084.0,3884.0,3936.0,3984.0,4036.0,4036.0,4084.0,4084.0,3684.0,3884.0,4036.0,3936.0,4036.0,4084.0,4084.0,4084.0,3884.0,3684.0,3884.0,3884.0,3936.0,3836.0,3884.0,3936.0,4036.0,4084.0,4084.0,3784.0,3836.0,3936.0,3984.0,4084.0,4084.0,0.0
-154.0,-0.006725,0.0001219,0.013275,1.561,0.2126,0.759,0.6323,20.19,5.152,3836.0,3936.0,3936.0,3936.0,3884.0,3936.0,3984.0,4036.0,4036.0,4036.0,4036.0,4036.0,3836.0,3936.0,4036.0,4036.0,4084.0,3836.0,3884.0,3884.0,3984.0,4036.0,4084.0,4084.0,4084.0,3884.0,3936.0,3984.0,4036.0,4036.0,4084.0,4084.0,3684.0,3884.0,4036.0,3936.0,4036.0,4036.0,4084.0,4084.0,3884.0,3684.0,3884.0,3884.0,3936.0,3836.0,3884.0,3936.0,4036.0,4084.0,4084.0,3784.0,3836.0,3884.0,3984.0,4036.0,4084.0,0.0
-153.0,-0.006523,0.0001433,0.0002344,1.552,0.2178,0.7637,0.6377,21.97,5.723,3836.0,3936.0,3936.0,3936.0,3884.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,4036.0,3836.0,3936.0,4036.0,4036.0,4036.0,3836.0,3884.0,3884.0,3984.0,4036.0,4036.0,4036.0,4036.0,3884.0,3936.0,3984.0,4036.0,4036.0,4036.0,4036.0,3684.0,3884.0,4036.0,3936.0,4036.0,4036.0,4036.0,4036.0,3936.0,3684.0,3884.0,3884.0,3936.0,3836.0,3884.0,3936.0,4036.0,4036.0,4036.0,3784.0,3836.0,3884.0,3984.0,4036.0,4036.0,0.0
-153.8,-0.00631,0.000148,0.001925,1.54,0.2029,0.765,0.629,21.92,5.188,3836.0,3936.0,3936.0,3936.0,3884.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,4036.0,3836.0,3936.0,4036.0,4036.0,4036.0,3836.0,3836.0,3884.0,3984.0,4036.0,4036.0,4036.0,4036.0,3884.0,3936.0,3984.0,3984.0,4036.0,4036.0,4036.0,3684.0,3884.0,4036.0,3936.0,3984.0,4036.0,4036.0,4036.0,3936.0,3684.0,3884.0,3884.0,3936.0,3836.0,3884.0,3936.0,4036.0,4036.0,4036.0,3784.0,3836.0,3936.0,3984.0,4036.0,4036.0,0.0
