like1,parlr_T,parlr_RRR,parlr_RH,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,parroughness_firn,simulation_0,chain
1.0,-0.0062757535,0.0005475249500000001,0.09484942,0.25233289999999997,0.7147585999999999,0.4456495,4.349368,2.274759,0.07122582,0.16613665,0.34817055,3.0170684,-3.5060208,1.0
1.0,-0.0057770519999999995,0.0005449307499999999,0.09381048,0.25004718,0.71152484,0.44176899999999997,3.9680953000000003,2.1295123,0.11794213,0.17003275,0.3603991,3.1411203999999997,-3.7224809999999997,1.0
1.0,-0.0052783513,0.00054233655,0.09277153,0.24776147,0.70829105,0.43788847,3.5868225,2.0357344,0.16465844,0.17392887,0.37262768,3.2651722000000003,-3.9534108999999997,1.0
1.0,-0.0052203503,0.00053974235,0.09173258,0.24547575,0.7050573,0.43400794,3.20555,2.1809812,0.21137476,0.17782497,0.38485625,3.3892242999999995,-4.221617,1.0
1.0,-0.005719051700000001,0.00053714815,0.09069363,0.24319005,0.70182353,0.43012744,2.8242772,2.326228,0.25809106,0.18172108,0.39708483,3.5132760000000003,-4.488415,1.0
1.0,-0.006217753,0.00053455395,0.089654684,0.24090433,0.6985898,0.4262469,2.4430044,2.4714746,0.30480736,0.18561718,0.40931338,3.6373281000000004,-4.7759529999999994,1.0
1.0,-0.006716454,0.0005319597000000001,0.08861574,0.23861861,0.6953560000000001,0.4223664000000001,2.0617316000000003,2.6167214,0.3515237,0.18951328,0.42154196,3.7613802000000005,-5.0803199999999995,1.0
1.0,-0.0067848447,0.0005293655,0.08757679,0.23633291,0.6921222,0.41848588,2.3795412000000002,2.7619681000000003,0.39824,0.19340938,0.43377054,3.8854319999999998,-5.0998187,1.0
1.0,-0.0062861433,0.0005267713,0.08653784,0.23404719,0.6888885,0.41460535,2.7608137000000004,2.9072148999999996,0.4449563,0.19730549,0.44599912,4.009484,-5.116077,1.0
1.0,-0.005787441999999999,0.0005241770999999999,0.08549889,0.23176147,0.6856547,0.41072485,3.1420865,3.0524616,0.49167264,0.20120159,0.45822766,4.133536,-5.147514299999999,1.0
1.0,-0.0052887406,0.0005215829,0.084459946,0.22947577,0.68242097,0.40684432,3.5233593,3.1977084,0.5383889000000001,0.20509769,0.47045624,4.257588,-5.1957507000000005,1.0
1.0,-0.0052099605,0.0005189887,0.08342100000000001,0.22719005,0.6791872,0.4029638,3.9046318999999996,3.3429553999999997,0.58510524,0.2089938,0.48268482,4.38164,-5.2509966,1.0
