like1_1,parlr_RRR,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-141.9,0.00012153,0.756,0.191,0.892,0.5933,19.55,4.523,0.2367,1.702,2.232,0.0,0.0,0.0,0.02379,0.4883,0.0,0.0,0.4106,0.0,0.0,0.0,0.044,0.278,0.05817,0.0,0.0,0.1348,0.2306,0.401,0.0,0.0,0.0,0.0,0.3518,0.4302,0.08154,0.0,0.0,0.0,0.0,0.0,0.0,0.4285,0.0,0.0,0.0,0.0,0.0,0.3396,0.4775,0.514,0.0,0.0,0.0,0.2261,0.3052,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.3867,0.1931,0.557,0.1931,-1.264,1.0
-142.1,0.0001857,0.672,0.3088,0.896,0.4924,21.66,4.62,0.3333,0.2141,1.15,0.0,0.0,0.0,0.02379,0.4883,0.0,0.0,0.4285,0.0,0.0,0.0,0.0911,0.3215,0.05817,0.0,0.0,0.1592,0.2644,0.401,0.0,0.0,0.0,0.0,0.4285,0.4604,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.3562,0.4775,0.5557,0.0,0.0,0.0,0.2336,0.3315,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.044,0.401,0.1931,0.5596,0.1837,-1.178,1.0
-142.5,0.0001931,0.956,0.2194,0.8506,0.4758,13.23,5.695,0.1318,2.262,1.059,0.0,0.0,0.0,0.1161,0.4705,0.0,0.0,0.4404,0.0,0.0,0.0,0.1348,0.3562,0.05817,0.0,0.0,0.1837,0.2974,0.4302,0.0,0.0,0.0,0.0,0.4285,0.5293,0.1161,0.0,0.0,0.0,0.0,0.0,0.002028,0.4775,0.0,0.0,0.0,0.0,0.002028,0.401,0.5557,0.5596,0.0,0.0,0.0,0.2147,0.3557,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05817,0.044,0.4302,0.1837,0.596,0.1931,-1.55,1.0
-142.1,0.0001159,0.7905,0.2244,0.887,0.573,17.69,5.914,0.1128,1.685,2.285,0.0,0.0,0.0,0.02379,0.4912,0.0,0.0,0.4285,0.0,0.0,0.0,0.05817,0.2996,0.05817,0.0,0.0,0.1348,0.2336,0.401,0.0,0.0,0.0,0.0,0.3518,0.4404,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.349,0.5293,0.5293,0.0,0.0,0.0,0.2306,0.3286,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.401,0.2029,0.557,0.2029,-1.313,1.0
-143.0,0.0001618,0.839,0.1946,0.8755,0.587,14.2,7.047,0.1179,0.92,1.262,0.0,0.0,0.0,0.02379,0.4922,0.0,0.0,0.4106,0.0,0.0,0.0,0.05817,0.2961,0.05817,0.0,0.0,0.1592,0.2306,0.401,0.0,0.0,0.0,0.0,0.3513,0.4302,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.4285,0.0,0.0,0.0,0.0,0.0,0.3396,0.4775,0.5293,0.0,0.0,0.0,0.2147,0.3315,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.396,0.1931,0.5557,0.2029,-1.239,1.0
-143.6,0.00017,0.885,0.1838,0.8975,0.4824,15.98,3.1,0.1323,2.367,1.224,0.0,0.0,0.0,0.044,0.4573,0.0,0.0,0.4106,0.0,0.0,0.0,0.05817,0.2996,0.05817,0.0,0.0,0.1348,0.2417,0.401,0.0,0.0,0.0,0.0,0.3743,0.4404,0.05817,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.3396,0.514,0.5293,0.0,0.0,0.0,0.2147,0.3125,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.3867,0.1931,0.5596,0.1931,-1.248,1.0
-143.5,0.0001944,0.873,0.2803,0.866,0.54,11.11,7.613,0.1818,1.79,3.904,0.0,0.0,0.0,0.1161,0.4746,0.0,0.0,0.4404,0.0,0.0,0.0,0.1348,0.3562,0.05817,0.0,0.0,0.1837,0.2996,0.4302,0.0,0.0,0.0,0.0,0.4285,0.5293,0.1348,0.0,0.0,0.0,0.0,0.0,0.002028,0.4775,0.0,0.0,0.0,0.0,0.002028,0.401,0.557,0.5615,0.0,0.0,0.0,0.2147,0.3562,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05817,0.044,0.4302,0.1837,0.5854,0.1931,-1.591,1.0
-146.0,9.257e-05,0.68,0.2391,0.8936,0.527,22.12,6.793,0.1582,0.403,1.765,0.0,0.0,0.0,0.02379,0.5063,0.0,0.0,0.4285,0.0,0.0,0.0,0.05817,0.316,0.0777,0.0,0.0,0.1592,0.2417,0.4302,0.0,0.0,0.0,0.0,0.4285,0.4775,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.3557,0.5293,0.5557,0.0,0.0,0.0,0.2417,0.3396,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05865,0.401,0.2029,0.5596,0.2029,-1.404,1.0
-144.1,0.00010645,0.6807,0.2756,0.8975,0.4338,20.0,7.668,0.2316,0.4856,3.428,0.0,0.0,0.0,0.05817,0.4883,0.0,0.0,0.4426,0.0,0.0,0.0,0.1348,0.3562,0.0777,0.0,0.0,0.1836,0.2996,0.4404,0.0,0.0,0.0,0.0,0.4404,0.5293,0.1753,0.0,0.0,0.0,0.0,0.0,0.0,0.519,0.0,0.0,0.0,0.0,0.002028,0.4285,0.5596,0.5615,0.0,0.0,0.0,0.2417,0.3513,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.044,0.4302,0.1931,0.603,0.2029,-1.718,1.0
-150.0,0.0001909,1.101,0.3489,0.7744,0.5176,15.61,7.36,0.1545,0.983,2.818,0.0,0.0,0.0,0.1161,0.4377,0.0,0.0,0.4302,0.0,0.0,0.0,0.05817,0.316,0.05817,0.0,0.0,0.1836,0.2961,0.4285,0.0,0.0,0.0,0.0,0.316,0.4673,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.4673,0.0,0.0,0.0,0.0,0.002028,0.3562,0.519,0.5557,0.0,0.0,0.0,0.1931,0.3513,0.4673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002028,0.02379,0.4285,0.1697,0.593,0.1781,-1.203,1.0
