like1,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation1_1,simulation2_1,simulation2_2,simulation2_3,simulation2_4,simulation2_5,chain
-647.1578264758075,0.198915452290241,0.8547011039904154,0.5972500051841287,2.7117601472684703,23.954407770106698,-1.970442566427211,0.0,0.0,0.0,0.21484375,0.67578125,1.0
-182.02559851300958,0.152265014409325,0.8640100052920524,0.6634111724795945,24.94010096961019,9.855770838023256,-0.20851663938969747,0.0,0.0,0.0,0.0,0.41796875,1.0
-510.2129014987387,0.1880253977339414,0.9211146222124651,0.4139677630237534,5.519186924207243,8.719707592880878,-1.6029242310837932,0.0,0.0,0.0,0.15234375,0.63671875,1.0
-1738.2960291905108,0.20407417180569545,0.7341210348052746,0.4784678990235362,2.8750130367667315,22.04923975589642,-3.462652129084247,0.0,0.0,0.21484375,0.42578125,0.9453125,1.0
-148.9657267756295,0.258415301546681,0.9401049484472441,0.4567628359287557,21.35986836473033,18.421590532509313,0.1742494107933876,0.0,0.0,0.0,0.0,0.39453125,1.0
-838.7149697391757,0.10376185197523644,0.7211187179466861,0.5897900474669724,24.192458639268782,21.215507346513665,-2.7248847805750174,0.0,0.0,0.0,0.27734375,0.70703125,1.0
-480.07702487412115,0.17075692070493192,0.7825890608956453,0.6491178344943229,10.904934342524765,9.932013117233828,-1.5852451506278014,0.0,0.0,0.0,0.14453125,0.61328125,1.0
-249.26083064796697,0.31016418094631826,0.9365365246646947,0.4995559462417157,7.185878483214076,3.361669280737881,-0.5101132001862012,0.0,0.0,0.0,0.00390625,0.49609375,1.0
-125.80532650421708,0.24189746544909524,0.9312071248723606,0.5015569398447839,25.272121268058257,4.595930493082218,0.3276666421635493,0.0,0.0,0.0,0.0,0.36328125,1.0
-445.80338390480927,0.2244056890050834,0.8021646370826654,0.5500983661152136,15.550006482842262,10.499374134178908,-1.3780698825844169,0.0,0.0,0.0,0.12109375,0.61328125,1.0
-577.6218088507013,0.39413955955623536,0.7803231837657386,0.695803598515059,1.3426908164289326,9.409776108874249,-1.422867021054214,0.0,0.0,0.0,0.21484375,0.6484375,1.0
-231.094914571289,0.26126511299774857,0.8424131949587493,0.6240279303409351,15.969913593823449,2.027488365451897,-0.4745240900625602,0.0,0.0,0.0,0.00390625,0.47265625,1.0
