like1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation1_1,simulation2_1,simulation2_2,simulation2_3,simulation2_4,simulation2_5,chain
-148.26807158585078,1.2150394981630392,0.2613766959000916,0.8843362117231544,0.43436701250106763,23.95805632743195,30.289010084692666,0.3630021004327642,0.0,0.0,0.0,0.0,0.41015625,1.0
-187.0675177743552,0.8009391112401081,0.2717583702141849,0.9459345398947949,0.6438366569567477,9.866720369259028,6.889226170949323,-0.2981802500499244,0.0,0.0,0.0,0.0,0.41796875,1.0
-827.2433100723451,1.1183721138849527,0.3354438165938273,0.7136941241945289,0.46082290920972574,8.731245434047137,9.829618635962747,-1.99563876050004,0.0,0.0,0.0,0.27734375,0.75390625,1.0
-390.05034551447767,1.2608317317285564,0.12690078231071522,0.7737459749529475,0.4359054325294843,22.053874903771803,29.902673164097955,-1.1567156153472262,0.0,0.0,0.0,0.0703125,0.6015625,1.0
-136.44047019676347,1.7431998267293718,0.3566226190861459,0.7535378127612553,0.6100981941174951,18.428104257190668,23.057401561843456,0.7274567169349037,0.0,0.0,0.0,0.0,0.41796875,1.0
-906.2605452121306,0.3703927060335154,0.1124000571896128,0.8773907338485605,0.6367912200360026,21.220574242408272,14.324161715136078,-3.0629383277906816,0.0,0.0,0.0703125,0.28515625,0.70703125,1.0
-204.14915053949719,0.9650855994574457,0.18095434300629587,0.9326269493567834,0.5115757119429447,9.942923166433564,0.19013782959890804,-0.27080072984561665,0.0,0.0,0.0,0.0,0.44921875,1.0
-130.06648618303564,2.202557379533485,0.3526429643100686,0.7933796740871146,0.4765290427026737,3.375981780058468,18.15209183426343,1.0004591919332164,0.0,0.0,0.0,0.0,0.42578125,1.0
-159.49274487968103,1.5965765016364684,0.3466993957684319,0.7952426681313505,0.6469654633046368,4.609603830691393,28.203376915935177,0.41156797376590426,0.0,0.0,0.0,0.0,0.43359375,1.0
-155.6629908287328,1.4413078327351234,0.20278584061263805,0.8404364098314057,0.5553487320473209,10.509990375686275,25.06081619713073,0.30001316440699927,0.0,0.0,0.0,0.0,0.41796875,1.0
7.317964375649169,2.9479788236608493,0.17842734248967135,0.9760930055140205,0.42146553378710566,9.42095659831523,21.867461410284434,4.698547398270577,0.0,0.0,0.0,0.0,0.08984375,1.0
-141.93751422666995,1.768496653043348,0.24767270813243428,0.9092673834208705,0.5593057432315851,2.0424917698650367,8.145257395650122,0.5989512378129179,0.0,0.0,0.0,0.0,0.41796875,1.0
3.6143031038050677,2.3196905302111754,0.3996378712574775,0.8555864447609268,0.5394123585300825,15.557452548273778,0.833243055090607,2.986920902431546,0.0,0.0,0.0,0.0,0.19921875,1.0
-269.39604325862473,0.9565324530349468,0.39469486935320264,0.8583343729695917,0.4927464178392191,16.871780386382948,12.626885791603375,-0.5560569738758658,0.0,0.0,0.0,0.01171875,0.51953125,1.0
-101.27501123846083,1.4907817319312633,0.12812035973123276,0.8756256105487115,0.5395849544111375,14.726409668390248,21.848291202233682,0.8906771471676971,0.0,0.0,0.0,0.0,0.36328125,1.0
-700.6359286193413,0.7620651591340084,0.3000143260434164,0.9268724092887545,0.5513054813514745,3.131308899401481,15.104888987044871,-2.0334972190404756,0.0,0.0,0.0,0.23828125,0.69140625,1.0
-95.33161665885982,1.5347124527080631,0.39055925195091823,0.9045838296581855,0.41215955754993006,12.22174784771521,6.7468567261866665,1.0458635338678537,0.0,0.0,0.0,0.0,0.36328125,1.0
-16.086201630785503,2.0563522646644765,0.21236135732805356,0.8381951408359304,0.5878650227425425,23.53672700964526,28.787537197746975,2.32772895970947,0.0,0.0,0.0,0.0,0.24609375,1.0
-138.17456817551113,1.3880348836408472,0.26204829448181755,0.827668106572969,0.5611198981026944,21.815623515942782,11.581378167661114,0.4884951768792346,0.0,0.0,0.0,0.0,0.40234375,1.0
-711.0494199010868,0.4402342528265426,0.3495126888168614,0.8636065387424516,0.5820067037712529,30.21280675218847,13.828376656622968,-2.0710766028669156,0.0,0.0,0.00390625,0.25390625,0.67578125,1.0
16.406082577122017,2.1081780801811436,0.39913859370979543,0.9752253824178824,0.594589606094042,26.98319478727975,24.02285084567275,3.715913594678864,0.0,0.0,0.0,0.0,0.08984375,1.0
-18.14231280992532,2.3522879771029213,0.18874417297836038,0.7927748835539004,0.6046548964440587,13.226675680686425,16.31505488303748,2.4656784289777143,0.0,0.0,0.0,0.0,0.26171875,1.0
15.973902427146916,2.5826442930174003,0.2508366328473107,0.8740450805910418,0.4461885414089388,27.01283473874453,12.732484239351706,3.84348876423229,0.0,0.0,0.0,0.0,0.09765625,1.0
-2213.3377936955326,0.4257768579871446,0.10916274460417032,0.8044139028533209,0.5086200252124669,18.51734768389293,24.766003675369234,-4.647662560732642,0.0,0.0,0.28515625,0.49609375,0.9375,1.0
-670.753701639482,1.109772355476294,0.13773302000360427,0.7950603652736704,0.6131990107649861,2.342384882691408,30.795292192135232,-2.130536628621617,0.0,0.0,0.0,0.22265625,0.67578125,1.0
6.683751336833662,2.656169777833512,0.2659505444463024,0.9376845509255344,0.5928114746045865,24.267548039406684,28.831476861527484,4.685546125938541,0.0,0.0,0.0,0.0,0.05859375,1.0
14.549612273521733,2.1885247483036028,0.10253365945451126,0.9024557206780248,0.6321202468274796,20.117183841558788,26.35967062120642,3.274103292522527,0.0,0.0,0.0,0.0,0.12890625,1.0
4.900594711508418,2.8438947562878614,0.28719540348226547,0.9040790518686774,0.5451507480631647,23.39245353911407,5.58557752695807,4.7902010060815705,0.0,0.0,0.0,0.0,0.05859375,1.0
