like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,chain
-200.1,-0.005703,1.9e-05,3.52e-05,1.257,0.1945,0.8765,0.5493,10.27,7.89,3890.0,3890.0,3754.0,3952.0,3754.0,3774.0,3868.0,3804.0,3956.0,3808.0,3926.0,3956.0,3956.0,3956.0,3754.0,3762.0,3956.0,3956.0,3754.0,3972.0,3972.0,3910.0,3936.0,3972.0,3972.0,3972.0,3754.0,3936.0,3940.0,3940.0,3754.0,3890.0,3912.0,3858.0,3754.0,3762.0,3936.0,3940.0,3940.0,3946.0,3956.0,3956.0,3754.0,3792.0,3918.0,3972.0,3976.0,3754.0,3754.0,3754.0,3972.0,3976.0,3976.0,3976.0,3976.0,3754.0,3858.0,3868.0,3926.0,3972.0,3976.0,3816.0,3900.0,3754.0,3976.0,3890.0,3976.0,3976.0,3976.0,3976.0,3976.0,3754.0,3826.0,3956.0,3976.0,3754.0,3754.0,3926.0,3976.0,3976.0,3976.0,3976.0,3754.0,3754.0,3976.0,3976.0,3976.0,0.0
-201.4,-0.0055,1.61e-05,0.002253,1.258,0.1826,0.8677,0.557,10.16,7.617,3890.0,3888.0,3754.0,3972.0,3754.0,3762.0,3866.0,3780.0,3972.0,3790.0,3932.0,3972.0,3972.0,3972.0,3754.0,3762.0,3972.0,3972.0,3754.0,3972.0,3972.0,3890.0,3940.0,3972.0,3972.0,3972.0,3754.0,3918.0,3932.0,3932.0,3754.0,3868.0,3918.0,3838.0,3754.0,3762.0,3932.0,3932.0,3932.0,3940.0,3956.0,3956.0,3754.0,3774.0,3918.0,3956.0,3972.0,3754.0,3754.0,3754.0,3972.0,3972.0,3972.0,3972.0,3972.0,3754.0,3858.0,3868.0,3926.0,3972.0,3972.0,3792.0,3900.0,3754.0,3972.0,3868.0,3972.0,3972.0,3972.0,3972.0,3972.0,3754.0,3816.0,3956.0,3972.0,3754.0,3754.0,3932.0,3972.0,3972.0,3972.0,3972.0,3754.0,3754.0,3972.0,3972.0,3972.0,0.0
-194.4,-0.005005,8.64e-06,0.001531,1.26,0.1841,0.848,0.552,9.43,5.94,3868.0,3792.0,3808.0,3992.0,3754.0,3754.0,3838.0,3760.0,3992.0,3774.0,3976.0,3992.0,3976.0,3992.0,3754.0,3754.0,3992.0,3992.0,3754.0,3992.0,3992.0,3868.0,3992.0,4008.0,4010.0,4010.0,3754.0,3890.0,3936.0,3946.0,3816.0,3918.0,3936.0,3808.0,3754.0,3762.0,3946.0,3946.0,3946.0,3976.0,3980.0,3980.0,3754.0,3762.0,3926.0,3992.0,4010.0,3754.0,3754.0,3754.0,4010.0,4010.0,4010.0,4010.0,4010.0,3754.0,3816.0,3912.0,3992.0,4010.0,4010.0,3762.0,3754.0,3754.0,4010.0,3888.0,4010.0,4010.0,4010.0,4010.0,4010.0,3754.0,3868.0,4010.0,4010.0,3754.0,3754.0,3936.0,4010.0,3992.0,3956.0,4010.0,3754.0,3754.0,3988.0,4010.0,4010.0,0.0
-221.6,-0.005085,2e-05,0.001256,1.258,0.1863,0.8535,0.582,11.3,6.727,3830.0,3826.0,3754.0,3918.0,3754.0,3754.0,3826.0,3754.0,3918.0,3754.0,3888.0,3918.0,3918.0,3918.0,3754.0,3754.0,3918.0,3918.0,3754.0,3918.0,3918.0,3858.0,3910.0,3926.0,3926.0,3926.0,3754.0,3900.0,3912.0,3912.0,3754.0,3848.0,3866.0,3816.0,3754.0,3754.0,3912.0,3912.0,3912.0,3912.0,3918.0,3918.0,3754.0,3762.0,3868.0,3918.0,3926.0,3754.0,3754.0,3754.0,3918.0,3926.0,3926.0,3926.0,3926.0,3754.0,3826.0,3838.0,3890.0,3926.0,3926.0,3762.0,3754.0,3754.0,3926.0,3754.0,3926.0,3926.0,3926.0,3926.0,3926.0,3754.0,3774.0,3890.0,3926.0,3754.0,3754.0,3890.0,3926.0,3926.0,3926.0,3926.0,3754.0,3754.0,3926.0,3926.0,3926.0,0.0
-223.5,-0.00512,3.25e-05,0.0003388,1.259,0.188,0.87,0.561,11.27,6.906,3830.0,3816.0,3754.0,3910.0,3754.0,3754.0,3826.0,3754.0,3912.0,3754.0,3864.0,3912.0,3912.0,3912.0,3754.0,3754.0,3912.0,3912.0,3754.0,3918.0,3918.0,3850.0,3900.0,3918.0,3918.0,3918.0,3754.0,3910.0,3912.0,3912.0,3754.0,3838.0,3866.0,3816.0,3754.0,3754.0,3912.0,3912.0,3912.0,3912.0,3918.0,3918.0,3754.0,3762.0,3868.0,3918.0,3918.0,3754.0,3754.0,3754.0,3918.0,3918.0,3918.0,3918.0,3918.0,3754.0,3826.0,3830.0,3890.0,3912.0,3918.0,3774.0,3754.0,3754.0,3918.0,3792.0,3918.0,3918.0,3918.0,3918.0,3918.0,3754.0,3780.0,3900.0,3918.0,3754.0,3754.0,3900.0,3918.0,3918.0,3918.0,3918.0,3754.0,3754.0,3918.0,3918.0,3918.0,0.0
-246.1,-0.005363,3.03e-05,0.00107,1.26,0.1904,0.8823,0.568,13.58,7.805,3762.0,3774.0,3754.0,3868.0,3754.0,3754.0,3780.0,3762.0,3868.0,3754.0,3804.0,3868.0,3888.0,3888.0,3754.0,3754.0,3888.0,3888.0,3754.0,3888.0,3888.0,3774.0,3888.0,3890.0,3890.0,3890.0,3754.0,3762.0,3888.0,3888.0,3754.0,3838.0,3848.0,3838.0,3754.0,3754.0,3838.0,3858.0,3868.0,3888.0,3890.0,3890.0,3754.0,3754.0,3816.0,3890.0,3890.0,3754.0,3754.0,3754.0,3830.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3838.0,3838.0,3848.0,3890.0,3780.0,3754.0,3754.0,3890.0,3754.0,3890.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3868.0,3890.0,3754.0,3754.0,3754.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3818.0,3890.0,3890.0,0.0
-242.5,-0.005215,5.03e-05,0.002142,1.26,0.1932,0.885,0.555,13.01,6.156,3774.0,3762.0,3754.0,3868.0,3754.0,3754.0,3762.0,3754.0,3868.0,3754.0,3792.0,3868.0,3868.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3890.0,3890.0,3780.0,3890.0,3890.0,3890.0,3890.0,3754.0,3838.0,3890.0,3890.0,3754.0,3838.0,3848.0,3826.0,3754.0,3754.0,3858.0,3858.0,3868.0,3890.0,3890.0,3890.0,3754.0,3762.0,3826.0,3890.0,3890.0,3754.0,3754.0,3754.0,3848.0,3890.0,3890.0,3890.0,3890.0,3754.0,3816.0,3838.0,3838.0,3848.0,3890.0,3774.0,3754.0,3754.0,3890.0,3754.0,3890.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3754.0,3826.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3890.0,0.0
-243.2,-0.00509,4.447e-05,0.002846,1.26,0.1943,0.887,0.5547,12.19,5.96,3762.0,3762.0,3754.0,3868.0,3754.0,3754.0,3754.0,3754.0,3868.0,3754.0,3780.0,3868.0,3888.0,3888.0,3754.0,3754.0,3888.0,3888.0,3754.0,3888.0,3888.0,3774.0,3888.0,3890.0,3890.0,3890.0,3754.0,3838.0,3890.0,3890.0,3754.0,3826.0,3838.0,3816.0,3754.0,3754.0,3858.0,3866.0,3890.0,3890.0,3890.0,3890.0,3754.0,3762.0,3826.0,3890.0,3890.0,3754.0,3754.0,3754.0,3848.0,3890.0,3890.0,3890.0,3890.0,3754.0,3804.0,3826.0,3826.0,3848.0,3890.0,3774.0,3754.0,3754.0,3890.0,3754.0,3890.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3868.0,3890.0,3754.0,3754.0,3826.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3890.0,0.0
-257.2,-0.005142,3.594e-05,0.002031,1.257,0.1978,0.8843,0.564,13.63,6.043,3754.0,3762.0,3754.0,3866.0,3754.0,3754.0,3754.0,3754.0,3866.0,3754.0,3792.0,3866.0,3868.0,3868.0,3754.0,3754.0,3868.0,3868.0,3754.0,3868.0,3868.0,3754.0,3868.0,3868.0,3868.0,3868.0,3754.0,3754.0,3858.0,3858.0,3754.0,3826.0,3826.0,3816.0,3754.0,3754.0,3804.0,3838.0,3848.0,3858.0,3858.0,3858.0,3754.0,3754.0,3792.0,3858.0,3868.0,3754.0,3754.0,3754.0,3774.0,3868.0,3868.0,3868.0,3868.0,3754.0,3754.0,3826.0,3830.0,3830.0,3858.0,3774.0,3754.0,3754.0,3868.0,3754.0,3858.0,3868.0,3868.0,3868.0,3868.0,3754.0,3754.0,3868.0,3868.0,3754.0,3754.0,3754.0,3868.0,3868.0,3868.0,3868.0,3754.0,3754.0,3754.0,3868.0,3868.0,0.0
-244.4,-0.00528,5.174e-05,0.001791,1.259,0.1804,0.8887,0.5596,13.17,6.086,3774.0,3774.0,3754.0,3868.0,3754.0,3754.0,3762.0,3754.0,3868.0,3754.0,3804.0,3868.0,3868.0,3888.0,3754.0,3754.0,3888.0,3890.0,3754.0,3890.0,3890.0,3792.0,3890.0,3890.0,3890.0,3890.0,3754.0,3762.0,3890.0,3890.0,3754.0,3838.0,3848.0,3830.0,3754.0,3754.0,3848.0,3866.0,3866.0,3890.0,3890.0,3890.0,3754.0,3774.0,3804.0,3890.0,3890.0,3754.0,3754.0,3754.0,3830.0,3890.0,3890.0,3890.0,3890.0,3754.0,3816.0,3838.0,3838.0,3848.0,3890.0,3774.0,3754.0,3754.0,3890.0,3754.0,3890.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3754.0,3774.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3858.0,3890.0,3890.0,0.0
-225.0,-0.005276,8.225e-05,0.003963,1.259,0.1857,0.8867,0.5625,11.89,7.77,3826.0,3848.0,3754.0,3890.0,3754.0,3762.0,3848.0,3762.0,3890.0,3754.0,3858.0,3890.0,3900.0,3900.0,3754.0,3754.0,3900.0,3900.0,3754.0,3900.0,3900.0,3868.0,3890.0,3900.0,3910.0,3910.0,3754.0,3910.0,3910.0,3910.0,3754.0,3858.0,3868.0,3838.0,3754.0,3762.0,3910.0,3910.0,3910.0,3910.0,3910.0,3910.0,3754.0,3774.0,3868.0,3910.0,3910.0,3754.0,3754.0,3754.0,3910.0,3910.0,3910.0,3910.0,3910.0,3754.0,3838.0,3848.0,3868.0,3910.0,3910.0,3780.0,3798.0,3754.0,3910.0,3848.0,3910.0,3910.0,3910.0,3910.0,3910.0,3754.0,3804.0,3890.0,3910.0,3754.0,3754.0,3900.0,3910.0,3910.0,3910.0,3910.0,3754.0,3754.0,3910.0,3910.0,3910.0,0.0
