like1,parlr_T,parlr_RRR,parRRR_factor,paralb_ice,paralb_snow,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,chain
-193.1,-0.006157,1.484e-05,0.6553,0.2158,0.7065,3754.0,nan,4470.0,nan,nan,nan,3888.0,4340.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3932.0,4156.0,4450.0,4620.0,nan,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3858.0,4130.0,4260.0,4340.0,4340.0,4510.0,3756.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,4230.0,4316.0,4340.0,4450.0,4390.0,4510.0,4580.0,3754.0,4188.0,4240.0,4240.0,4092.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3912.0,4026.0,4124.0,4240.0,4340.0,4150.0,0.0
-200.4,-0.00625,2.2e-05,0.651,0.223,0.697,3754.0,nan,4470.0,nan,nan,nan,3890.0,4340.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3858.0,4010.0,4184.0,4450.0,4620.0,nan,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3910.0,4156.0,4316.0,4340.0,4450.0,4510.0,3756.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,4240.0,4316.0,4340.0,4450.0,nan,4510.0,4620.0,3754.0,4220.0,4240.0,4240.0,4092.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3946.0,4072.0,4184.0,4240.0,4340.0,4150.0,0.0
-190.2,-0.00637,7.8e-06,0.6543,0.2478,0.7026,3754.0,nan,4470.0,nan,nan,nan,3890.0,4340.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3988.0,4124.0,4450.0,4620.0,nan,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3868.0,4136.0,4240.0,4340.0,4340.0,4510.0,3756.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,4230.0,4316.0,4340.0,4450.0,nan,4510.0,4580.0,3754.0,4124.0,4224.0,4224.0,4092.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3926.0,4044.0,4184.0,4240.0,4340.0,4150.0,0.0
