like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,chain
-161.9,-0.006824,7.91e-05,0.01162,1.556,0.1892,0.705,0.6377,19.12,7.164,3992.0,4064.0,4088.0,4120.0,4008.0,4108.0,4120.0,4150.0,4150.0,4176.0,4176.0,4176.0,3992.0,4088.0,4176.0,4176.0,4176.0,3976.0,3992.0,4044.0,4156.0,4176.0,4176.0,4176.0,4176.0,4008.0,4088.0,4120.0,4176.0,4176.0,4176.0,4176.0,3920.0,4008.0,4176.0,4044.0,4150.0,4176.0,4176.0,4176.0,4124.0,3912.0,3944.0,4006.0,4052.0,3976.0,4008.0,4086.0,4176.0,4176.0,4176.0,3804.0,3992.0,4044.0,4108.0,4176.0,4176.0,0.0
-155.8,-0.006966,6.78e-05,0.01261,1.55,0.1863,0.7056,0.627,19.6,6.242,3992.0,4064.0,4088.0,4116.0,4006.0,4108.0,4120.0,4156.0,4150.0,4176.0,4176.0,4176.0,3932.0,4088.0,4176.0,4176.0,4176.0,3932.0,3992.0,4036.0,4156.0,4176.0,4176.0,4176.0,4176.0,4008.0,4088.0,4120.0,4176.0,4176.0,4176.0,4176.0,3840.0,4006.0,4150.0,4044.0,4150.0,4176.0,4176.0,4176.0,4008.0,3912.0,3944.0,4006.0,4044.0,3944.0,4008.0,4076.0,4176.0,4176.0,4176.0,3816.0,3992.0,4044.0,4108.0,4176.0,4176.0,0.0
-154.4,-0.00664,6e-05,0.003777,1.547,0.1919,0.7163,0.6323,20.97,7.215,3932.0,4024.0,4052.0,4088.0,3976.0,4068.0,4088.0,4100.0,4108.0,4120.0,4156.0,4156.0,3926.0,4044.0,4120.0,4156.0,4156.0,3932.0,3932.0,4006.0,4108.0,4120.0,4156.0,4156.0,4156.0,3992.0,4060.0,4088.0,4120.0,4156.0,4156.0,4156.0,3900.0,3932.0,4120.0,4010.0,4108.0,4150.0,4156.0,4156.0,4120.0,3864.0,3918.0,3932.0,4008.0,3926.0,3992.0,4044.0,4120.0,4156.0,4156.0,3792.0,3940.0,4008.0,4060.0,4092.0,4156.0,0.0
-142.0,-0.006588,7.564e-05,0.00897,1.533,0.1971,0.719,0.635,21.31,6.535,3944.0,4010.0,4044.0,4074.0,3932.0,4060.0,4088.0,4088.0,4108.0,4120.0,4120.0,4120.0,3926.0,4030.0,4092.0,4120.0,4120.0,3926.0,3944.0,3992.0,4108.0,4150.0,4120.0,4120.0,4120.0,3980.0,4044.0,4088.0,4108.0,4120.0,4120.0,4120.0,3840.0,3932.0,4110.0,4010.0,4100.0,4150.0,4120.0,4120.0,4048.0,3864.0,3918.0,3944.0,4008.0,3926.0,3992.0,4044.0,4150.0,4120.0,4120.0,3792.0,3932.0,4006.0,4044.0,4110.0,4120.0,0.0
-144.2,-0.00654,8.017e-05,0.01743,1.535,0.1849,0.7295,0.648,22.05,5.582,3910.0,3932.0,3992.0,4008.0,3918.0,4008.0,4024.0,4036.0,4044.0,4064.0,4088.0,4088.0,3888.0,3992.0,4064.0,4088.0,4088.0,3888.0,3918.0,3944.0,4044.0,4064.0,4088.0,4088.0,4088.0,3926.0,3992.0,4024.0,4060.0,4088.0,4088.0,4088.0,3754.0,3918.0,4044.0,3978.0,4060.0,4088.0,4088.0,4088.0,3976.0,3754.0,3868.0,3918.0,3932.0,3864.0,3926.0,3992.0,4068.0,4088.0,4088.0,3780.0,3888.0,3944.0,4008.0,4052.0,4088.0,0.0
-179.4,-0.006294,6.37e-05,0.02704,1.539,0.1931,0.7485,0.6455,21.3,4.69,3762.0,3888.0,3912.0,3926.0,3782.0,3926.0,3944.0,3976.0,3992.0,3992.0,4006.0,4006.0,3754.0,3888.0,3992.0,4006.0,4008.0,3754.0,3754.0,3858.0,3932.0,3992.0,4008.0,4008.0,4008.0,3818.0,3918.0,3940.0,3980.0,3992.0,4008.0,4008.0,3754.0,3754.0,3932.0,3888.0,3980.0,4008.0,4008.0,4008.0,3754.0,3754.0,3754.0,3848.0,3888.0,3754.0,3808.0,3912.0,3992.0,4008.0,4008.0,3774.0,3754.0,3850.0,3926.0,3992.0,4008.0,0.0
-165.1,-0.00671,9.775e-05,0.01504,1.547,0.1903,0.757,0.649,20.64,5.547,3830.0,3912.0,3918.0,3932.0,3864.0,3932.0,3944.0,3980.0,3992.0,4008.0,4010.0,4010.0,3754.0,3912.0,3992.0,4010.0,4010.0,3754.0,3850.0,3888.0,3992.0,3992.0,4010.0,4010.0,4010.0,3864.0,3926.0,3932.0,3992.0,4006.0,4010.0,4010.0,3754.0,3850.0,3992.0,3918.0,3992.0,4010.0,4010.0,4010.0,3932.0,3754.0,3830.0,3888.0,3912.0,3754.0,3864.0,3926.0,4006.0,4010.0,4010.0,3792.0,3754.0,3888.0,3944.0,4008.0,4010.0,0.0
-151.4,-0.006935,0.0001074,0.0128,1.555,0.1951,0.7563,0.6406,19.12,5.1,3858.0,3918.0,3926.0,3966.0,3888.0,3966.0,3992.0,3992.0,4008.0,4024.0,4024.0,4024.0,3818.0,3926.0,3992.0,4024.0,4024.0,3818.0,3864.0,3912.0,3992.0,4010.0,4024.0,4024.0,4024.0,3888.0,3944.0,3978.0,4006.0,4024.0,4024.0,4024.0,3754.0,3888.0,3992.0,3926.0,4006.0,4024.0,4024.0,4024.0,3926.0,3754.0,3864.0,3900.0,3932.0,3818.0,3888.0,3940.0,4024.0,4024.0,4024.0,3816.0,3840.0,3912.0,3976.0,4024.0,4024.0,0.0
-152.2,-0.006756,0.0001216,0.013725,1.561,0.2126,0.759,0.6323,20.19,5.152,3850.0,3918.0,3926.0,3944.0,3888.0,3944.0,3980.0,3992.0,4008.0,4024.0,4024.0,4024.0,3818.0,3926.0,3992.0,4024.0,4024.0,3818.0,3858.0,3912.0,3992.0,4008.0,4024.0,4024.0,4024.0,3888.0,3932.0,3978.0,4006.0,4024.0,4024.0,4024.0,3754.0,3888.0,4006.0,3926.0,4006.0,4024.0,4024.0,4024.0,3912.0,3754.0,3868.0,3900.0,3926.0,3818.0,3888.0,3932.0,4024.0,4024.0,4024.0,3804.0,3840.0,3912.0,3978.0,4024.0,4024.0,0.0
-154.2,-0.006527,0.0001427,0.0004232,1.552,0.2178,0.7637,0.6377,21.97,5.723,3850.0,3918.0,3926.0,3940.0,3890.0,3940.0,3978.0,3992.0,4006.0,4008.0,4024.0,4024.0,3818.0,3926.0,3992.0,4024.0,4024.0,3818.0,3858.0,3912.0,3992.0,4006.0,4024.0,4024.0,4024.0,3888.0,3932.0,3976.0,3992.0,4010.0,4024.0,4024.0,3754.0,3888.0,4006.0,3926.0,4006.0,4024.0,4024.0,4024.0,3932.0,3754.0,3866.0,3890.0,3918.0,3830.0,3890.0,3932.0,4010.0,4024.0,4024.0,3792.0,3850.0,3912.0,3976.0,4024.0,4024.0,0.0
