like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,chain
-390.8,-0.006977,0.0001669,0.00607,0.637,0.3647,0.8013,0.5415,9.48,5.4,4340.0,4450.0,4316.0,4450.0,4220.0,4316.0,4340.0,4450.0,4450.0,4450.0,4224.0,4450.0,4450.0,4150.0,4450.0,4044.0,4340.0,4450.0,4450.0,3838.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4296.0,4316.0,4340.0,4400.0,4400.0,4340.0,4400.0,4450.0,4224.0,4268.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4308.0,4340.0,4450.0,4450.0,4450.0,4240.0,4316.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3940.0,4224.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4324.0,4340.0,4450.0,4450.0,4290.0,4340.0,4450.0,4450.0,4296.0,4204.0,4256.0,4230.0,4340.0,4450.0,4450.0,4450.0,0.0
-391.5,-0.006924,0.0001551,0.007713,0.634,0.3884,0.8003,0.5625,9.49,6.188,4340.0,4450.0,4316.0,4450.0,4220.0,4316.0,4340.0,4450.0,4450.0,4450.0,4224.0,4450.0,4450.0,4150.0,4450.0,4040.0,4340.0,4450.0,4450.0,3838.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4296.0,4316.0,4340.0,4400.0,4400.0,4340.0,4450.0,4450.0,4224.0,4268.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4308.0,4340.0,4450.0,4450.0,4450.0,4240.0,4316.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3940.0,4224.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4324.0,4340.0,4450.0,4450.0,4304.0,4340.0,4450.0,4450.0,4304.0,4212.0,4244.0,4230.0,4340.0,4450.0,4450.0,4450.0,0.0
-376.2,-0.006683,0.0001526,0.007755,0.6313,0.3877,0.799,0.5684,11.19,5.695,4340.0,4340.0,4316.0,4340.0,4220.0,4316.0,4340.0,4340.0,4340.0,4340.0,4224.0,4340.0,4450.0,4150.0,4450.0,4036.0,4340.0,4450.0,4450.0,3816.0,4450.0,4450.0,4340.0,4450.0,4450.0,4450.0,4300.0,4316.0,4340.0,4340.0,4340.0,4316.0,4340.0,4400.0,4224.0,4240.0,4340.0,4400.0,4450.0,4450.0,4450.0,4450.0,4450.0,4244.0,4340.0,4450.0,4450.0,4450.0,4240.0,4260.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3932.0,4224.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4320.0,4340.0,4450.0,4450.0,4244.0,4316.0,4450.0,4450.0,4308.0,4212.0,4256.0,4230.0,4340.0,4450.0,4450.0,4450.0,0.0
-390.0,-0.00646,0.0001278,0.00967,0.636,0.373,0.7974,0.5396,12.8,5.57,4340.0,4340.0,4316.0,4450.0,4220.0,4316.0,4340.0,4450.0,4450.0,4450.0,4224.0,4450.0,4450.0,4150.0,4450.0,4026.0,4340.0,4450.0,4450.0,3816.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4304.0,4316.0,4340.0,4450.0,4450.0,4340.0,4450.0,4450.0,4224.0,4240.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4276.0,4340.0,4450.0,4450.0,4450.0,4240.0,4240.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3918.0,4224.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4260.0,4340.0,4450.0,4450.0,4308.0,4212.0,4256.0,4230.0,4340.0,4450.0,4450.0,4450.0,0.0
-396.8,-0.006638,0.0001427,0.008446,0.6377,0.385,0.7803,0.535,14.24,5.5,4340.0,4450.0,4340.0,4450.0,4216.0,4340.0,4340.0,4450.0,4450.0,4450.0,4224.0,4450.0,4450.0,4150.0,4450.0,4026.0,4340.0,4450.0,4450.0,3816.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4300.0,4340.0,4450.0,4450.0,4450.0,4340.0,4450.0,4450.0,4190.0,4320.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4310.0,4340.0,4450.0,4450.0,4450.0,4244.0,4316.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,3918.0,4224.0,4340.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4340.0,4340.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4304.0,4212.0,4256.0,4244.0,4340.0,4450.0,4450.0,4450.0,0.0
-434.2,-0.006645,0.0001414,0.006916,0.642,0.3936,0.7686,0.541,14.61,5.473,4340.0,4450.0,4340.0,4510.0,4212.0,4340.0,4450.0,4510.0,4510.0,4510.0,4224.0,4510.0,4510.0,4150.0,4510.0,4026.0,4340.0,4510.0,4510.0,3816.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4300.0,4340.0,4450.0,4450.0,4450.0,4340.0,4450.0,4450.0,4190.0,4316.0,4340.0,4450.0,4450.0,4450.0,4510.0,4510.0,4510.0,4310.0,4340.0,4510.0,4510.0,4510.0,4316.0,4340.0,4340.0,4510.0,4510.0,4510.0,4510.0,4510.0,4340.0,4510.0,4470.0,4510.0,4510.0,4510.0,3918.0,4224.0,4340.0,4510.0,4450.0,4510.0,4510.0,4510.0,4510.0,4510.0,4340.0,4450.0,4510.0,4510.0,4316.0,4340.0,4510.0,4510.0,4296.0,4204.0,4244.0,4240.0,4340.0,4510.0,4510.0,4484.0,0.0
-389.0,-0.00697,0.0001594,0.006565,0.6533,0.3926,0.7837,0.5386,13.63,6.16,4340.0,4340.0,4316.0,4450.0,4204.0,4316.0,4340.0,4450.0,4450.0,4450.0,4224.0,4450.0,4450.0,4150.0,4450.0,4026.0,4340.0,4450.0,4450.0,3838.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4290.0,4316.0,4340.0,4400.0,4400.0,4340.0,4450.0,4450.0,4188.0,4268.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4304.0,4340.0,4450.0,4450.0,4450.0,4240.0,4316.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3940.0,4224.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4276.0,4196.0,4240.0,4230.0,4340.0,4450.0,4450.0,4440.0,0.0
-435.5,-0.00688,0.0001636,0.00735,0.6533,0.3806,0.763,0.5303,13.164,5.586,4340.0,4450.0,4340.0,4510.0,4212.0,4340.0,4450.0,4510.0,4510.0,4510.0,4224.0,4510.0,4510.0,4150.0,4510.0,4026.0,4340.0,4510.0,4510.0,3830.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4292.0,4340.0,4450.0,4450.0,4450.0,4340.0,4450.0,4450.0,4188.0,4316.0,4340.0,4450.0,4450.0,4450.0,4510.0,4510.0,4510.0,4308.0,4400.0,4510.0,4510.0,4510.0,4316.0,4340.0,4450.0,4510.0,4510.0,4510.0,4450.0,4510.0,4340.0,4510.0,4470.0,4510.0,4510.0,4510.0,3936.0,4224.0,4340.0,4510.0,4450.0,4510.0,4510.0,4510.0,4510.0,4510.0,4340.0,4450.0,4510.0,4510.0,4316.0,4340.0,4510.0,4510.0,4276.0,4196.0,4252.0,4316.0,4450.0,4510.0,4510.0,4440.0,0.0
-381.0,-0.006977,0.0001535,0.006817,0.657,0.3782,0.787,0.527,13.03,5.0,4340.0,4340.0,4316.0,4450.0,4204.0,4316.0,4340.0,4450.0,4450.0,4450.0,4224.0,4450.0,4450.0,4144.0,4450.0,4026.0,4340.0,4450.0,4450.0,3838.0,4340.0,4340.0,4340.0,4450.0,4450.0,4450.0,4290.0,4316.0,4340.0,4400.0,4400.0,4316.0,4400.0,4400.0,4188.0,4240.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4270.0,4340.0,4450.0,4450.0,4450.0,4240.0,4280.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3936.0,4224.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4244.0,4340.0,4450.0,4450.0,4270.0,4190.0,4252.0,4230.0,4340.0,4450.0,4450.0,4440.0,0.0
-372.2,-0.006927,0.0001599,0.00697,0.658,0.3767,0.789,0.538,11.445,4.105,4340.0,4340.0,4316.0,4450.0,4204.0,4292.0,4340.0,4450.0,4400.0,4450.0,4224.0,4450.0,4450.0,4144.0,4450.0,4026.0,4316.0,4450.0,4450.0,3838.0,4316.0,4316.0,4340.0,4450.0,4450.0,4450.0,4290.0,4316.0,4340.0,4340.0,4340.0,4316.0,4340.0,4400.0,4188.0,4240.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,4270.0,4340.0,4400.0,4450.0,4450.0,4240.0,4276.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4450.0,4450.0,4450.0,4450.0,4450.0,3936.0,4124.0,4316.0,4450.0,4340.0,4450.0,4450.0,4450.0,4450.0,4340.0,4320.0,4340.0,4450.0,4450.0,4244.0,4316.0,4450.0,4450.0,4268.0,4190.0,4252.0,4230.0,4340.0,4450.0,4450.0,4430.0,0.0
