LS_DATE,CC_area,CC_total_port,DC_area,DIC_area,DIC_max,IC_area,LS_ID,LS_SAT,RGI_ID,SC_area,SC_max,SC_mean,SC_median,SC_min,SC_stdev,cc_TSLrange_percent,class_coverage,glacier_DEM_max,glacier_DEM_min,glacier_area,tool_version,scene,TSL_stddev_norm,TSL_max_norm,TSL_min_norm,TSL_normalized
1999-03-13,0.0135424670083771,0.1727167816303275,0.0,0.0135414539825872,3492.0,0.0135414539825872,LT05_L1TP_193027_19990313_20211203_02_T1,LANDSAT_5,RGI60-11.00897,7.813768005292392,2547.0,2485.3227409877736,2430.0,2411.0,37.43272800274004,0.0,97.82875237526778,3696,2430,8.014874648979873,0.8.1,193027,-1.8898635639788783,0.0924170616113744,-0.015007898894154818,0.0
1999-03-29,1.062271225705966,13.52472119998365,0.0,0.0,,0.0,LT05_L1TP_193028_19990329_20211203_02_T1,LANDSAT_5,RGI60-11.00897,6.792021737559674,2523.0,2485.317765970195,2430.0,2418.0,26.6336094079239,0.0,97.9964542015932,3696,2430,8.014874648979873,0.8.1,193028,-1.8983936734534568,0.07345971563981042,-0.009478672985781991,0.0
1999-04-14,0.3046930392333353,3.4194007525702883,0.0,0.0203151902268732,3062.0,0.0203151902268732,LT05_L1TP_193027_19990414_20211204_02_T1,LANDSAT_5,RGI60-11.00897,8.585705759602272,2515.0,2474.1657798273623,2430.0,2411.0,27.37503454066436,0.0,100.0,3696,2430,8.014874648979873,0.8.1,193027,-1.8978080295887327,0.06714060031595577,-0.015007898894154818,0.0
1999-06-01,0.0879993887243879,0.9424457700668092,0.0135383017323799,0.4129575993524633,3687.0,0.3994192976215767,LT05_L1TP_193027_19990601_20211205_02_T1,LANDSAT_5,RGI60-11.00897,8.836384673010638,2587.0,2558.9658657543264,2564.0,2496.0,24.45256346006243,2.729862403338449,100.0,3696,2430,8.014874648979873,0.8.1,193027,-1.900116458562352,0.1240126382306477,0.052132701421800945,0.10584518167456557
1999-07-03,0.2098588035958646,2.2458936106273373,0.2843081712782889,1.435311987964862,3687.0,1.1510041594361962,LT05_L1TP_193027_19990703_20211205_02_T1,LANDSAT_5,RGI60-11.00897,7.698941625880642,2699.0,2677.750723068596,2679.0,2633.0,17.696439064257028,0.0,100.0,3696,2430,8.014874648979873,0.8.1,193027,-1.9054530497122772,0.21248025276461296,0.160347551342812,0.1966824644549763
1999-10-07,0.0270755901267509,0.3486259756514354,0.0,0.0541571468096468,3419.0,0.0541571468096468,LT05_L1TP_193027_19991007_20200907_02_T1,LANDSAT_5,RGI60-11.00897,7.685139148745685,2563.0,2514.3547447305145,2436.0,2436.0,39.07259620414053,0.5468735744784315,96.8994816669446,3696,2430,8.014874648979873,0.8.1,193027,-1.8885682494438067,0.10505529225908374,0.004739336492890996,0.004739336492890996
2000-01-27,0.2302126150985536,4.755175231795584,0.0,0.8395824894595662,3621.0,0.8395824894595662,LT05_L1TP_193027_20000127_20200907_02_T1,LANDSAT_5,RGI60-11.00897,3.771510260366021,2515.0,2465.6210828203702,2430.0,2420.0,26.285432382895223,0.0,60.40402214724179,3696,2430,8.014874648979873,0.8.1,193027,-1.898668694800241,0.06714060031595577,-0.007898894154818325,0.0
2000-06-19,0.2708110555656732,2.8940057399498493,0.3587793281005684,2.261390993947309,3687.0,1.9026125049478324,LT05_L1TP_193027_20000619_20200906_02_T1,LANDSAT_5,RGI60-11.00897,6.825456580555881,2721.0,2706.4697786076304,2706.0000000000005,2685.0,9.296604490590182,1.9370685720266785,100.0,3696,2430,8.014874648979873,0.8.1,193027,-1.912087990133815,0.22985781990521326,0.2014218009478673,0.21800947867298615
2000-07-05,0.4049677266258065,4.750325235448346,0.2999073760291528,2.5222960564662285,3686.0,2.2223886801144777,LT05_L1TP_193027_20000705_20200907_02_T1,LANDSAT_5,RGI60-11.00897,5.603176528569279,2813.0,2794.3678726683065,2796.0,2752.0,12.429402906511855,1.9307258858357437,100.0,3696,2430,8.014874648979873,0.8.1,193027,-1.9096134258242403,0.30252764612954186,0.25434439178515006,0.2890995260663507
2000-09-23,0.0592634821190993,0.7817965873005754,0.008979194666847,0.6231710506408775,3646.0,0.6141918557759246,LT05_L1TP_193027_20000923_20200906_02_T1,LANDSAT_5,RGI60-11.00897,6.897987687717512,2563.0,2522.8129265503376,2430.0,2430.0,30.788838242283006,2.5232257196691528,94.57942312541178,3696,2430,8.014874648979873,0.8.1,193027,-1.8951115021782916,0.10505529225908374,0.0,0.0
